Company Name,Structure,Type,Technical,Safety,Environmental,Societal,Cost,Weight,Size,Diameter,Length ,Metal,Plastic,Concrete,Residues,Position,Decision
Repsol Sinopec Resources UK Limited,PL4210,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.834645669,1.85,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Repsol Sinopec Resources UK Limited,PL597B,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.503937008,1.99,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Repsol Sinopec Resources UK Limited,PL597A,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6.933070866,1.96,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Repsol Sinopec Resources UK Limited,PL3018,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.374015748,0.0127,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Repsol Sinopec Resources UK Limited,PL3019,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.374015748,0.0183,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Repsol Sinopec Resources UK Limited,PL3020,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.374015748,0.0096,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Repsol Sinopec Resources UK Limited,PL3021,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.374015748,0.016,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Repsol Sinopec Resources UK Limited,PL1866,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.153543307,13.408,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Spirit Energy North Sea Limited,PL2839,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,22.24,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
INEOS UK SNS Limited,PL1273.1 to PL1273.3,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.7,7,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Ithaca Energy (UK) Limited,PL955,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,4.9,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Lundin Energy Norway AS,PL3084,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,12.28,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
BP Exploration (Alpha) Limited,PL148,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,24.968,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
BP Exploration (Alpha) Limited,PL148,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,5,25.285,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
CNR International (U.K.) Limited,PL1661.1-PL1661.22,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6.65,0.303,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Chrysaor Production (U.K.) Limited,PL1094,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,19.5,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Chrysaor Production (U.K.) Limited,PL1092,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,14.3,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Chrysaor Production (U.K.) Limited,PL1695,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,4.5,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Chrysaor Production (U.K.) Limited,PL1691,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.1,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
