Structure,Diameter (inches),Length (km),Metal,Plastic,Concrete,Residue,Chemicals,Hydrocarbon,Burial Status,Final Decommissioning Option
PL4210,3.834645669,1.85,1,1,0,1,1,0,0,FullRemoval
PL597B,4.503937008,1.99,1,1,0,1,1,0,0,FullRemoval
PL597A,6.933070866,1.96,1,1,0,1,1,0,0,FullRemoval
PL3018,2.374015748,0.0127,1,1,0,1,1,0,0,FullRemoval
PL3019,2.374015748,0.0183,1,1,0,1,1,0,0,FullRemoval
PL3020,2.374015748,0.0096,1,1,0,1,1,0,0,FullRemoval
PL3021,2.374015748,0.016,1,1,0,1,1,0,0,FullRemoval
PL1661.1-PL1661.22,6.65,0.303,1,1,0,1,1,0,0,FullRemoval
PL1691,3,0.1,1,1,0,1,1,0,0,FullRemoval
PL2808,8,0.325,1,1,0,1,1,0,0,FullRemoval
PL2809,7,0.325,1,1,0,1,1,0,0,FullRemoval
PL3008,8,0.343,1,1,0,1,1,0,0,FullRemoval
PL3008,8,0.002,1,1,0,1,1,0,0,FullRemoval
PL3008JAW2,8,0.052,1,1,0,1,1,0,0,FullRemoval
PL3008JAW2,8,0.002,1,1,0,1,1,0,0,FullRemoval
PLU3009JAW1,4.291338583,0.07,1,1,0,1,1,0,0,FullRemoval
PL1979 (3),20,0.2,1,1,0,1,1,0,0,FullRemoval
PL3122GEW,3.858267717,0.08,1,1,0,1,1,0,0,FullRemoval
PL3122GWW,3.858267717,0.05,1,1,0,1,1,0,0,FullRemoval
PL1451 (1.01),,0.3,1,1,0,1,1,0,0,FullRemoval
PL1454 (1.01),,0.3,1,1,0,1,1,0,0,FullRemoval
PL3568,,0.1,1,1,0,1,1,0,0,FullRemoval
PL1454 (1.03),,0.1,1,1,0,1,1,0,0,FullRemoval
PL1726,,0.2,1,1,0,1,1,0,0,FullRemoval
PL3569,,0.1,1,1,0,1,1,0,0,FullRemoval
PL2165,4,0.165,1,1,0,1,1,0,0,FullRemoval
PL2067JW12,0.75,0.088,1,1,0,1,1,0,0,FullRemoval
PL2067JWAB2,0.75,0.198,1,1,0,1,1,0,0,FullRemoval
PL2804JP11,0.5,0.025,1,1,0,1,1,0,0,FullRemoval
PL2446JI5,6.625984252,0.04,1,1,0,1,1,0,0,FullRemoval
PL1657.1,7,0.065,1,1,0,1,1,0,0,FullRemoval
PL1657.2,7,0.091,1,1,0,1,1,0,0,FullRemoval
PL1657.3,7,0.021,1,1,0,1,1,0,0,FullRemoval
PL1657.4,7,0.036,1,1,0,1,1,0,0,FullRemoval
PL1657.5,7,0.085,1,1,0,1,1,0,0,FullRemoval
PL1658.4,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.7,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.9,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.2,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.5,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.13,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.5,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.3,2,0.1,1,1,0,1,1,0,0,FullRemoval
PL1658.6,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.14,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.25,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.8,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.15,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.10,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1658.12,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.2,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.5,2,0.06,1,1,0,1,1,0,0,FullRemoval
PL1659.13,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.3,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.6,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.14,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.4,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.7,2,0.6,1,1,0,1,1,0,0,FullRemoval
PL1659.8,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.24,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.16,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.10,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.12,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL1659.15,2,0.6,1,1,0,1,1,0,0,FullRemoval
PL1659JP7,2,0.05,1,1,0,1,1,0,0,FullRemoval
PL2819JW1,6,0.026,1,1,0,1,1,0,0,FullRemoval
PL2820JP1,2,0.06,1,1,0,1,1,0,0,FullRemoval
PL2820JP2,2,0.044,1,1,0,1,1,0,0,FullRemoval
PL2820JP3,2,0.053,1,1,0,1,1,0,0,FullRemoval
PL2820JP4,2,0.042,1,1,0,1,1,0,0,FullRemoval
PL1623.1 and PL1623.2 ,0.75,0.037,1,1,0,1,1,0,0,FullRemoval
PL1375/1-7,8,0.725,1,1,0,1,1,0,0,FullRemoval
PL1376/1-6,6,0.04,1,1,0,1,1,0,0,FullRemoval
PL1377/1-6,6,0.17,1,1,0,1,1,0,0,FullRemoval
PL1378/1-6,6,0.145,1,1,0,1,1,0,0,FullRemoval
PL1380/1-7,8,0.74,1,1,0,1,1,0,0,FullRemoval
PL1381/1-7,4,0.145,1,1,0,1,1,0,0,FullRemoval
PL1382/1-5,6,0.054,1,1,0,1,1,0,0,FullRemoval
PL1397,10,0.697,1,1,0,1,1,0,0,FullRemoval
PL1403/1-5,4,0.239,1,1,0,1,1,0,0,FullRemoval
PL1404/1-3,0.5,0.09,1,1,0,1,1,0,0,FullRemoval
PL1405/1-3,0.5,0.066,1,1,0,1,1,0,0,FullRemoval
PL1406/1-3,0.5,0.066,1,1,0,1,1,0,0,FullRemoval
PL1408/1-3,0.5,0.06,1,1,0,1,1,0,0,FullRemoval
PL1409/1-3,0.5,0.11,1,1,0,1,1,0,0,FullRemoval
PL1410/1-3,4,0.082,1,1,0,1,1,0,0,FullRemoval
PL1412,12,0.777,1,1,0,1,1,0,0,FullRemoval
PL1776/1-3,4,0.04,1,1,0,1,1,0,0,FullRemoval
PL1777/1-3,4,0.042,1,1,0,1,1,0,0,FullRemoval
PL1780/1-3,4,0.06,1,1,0,1,1,0,0,FullRemoval
PL1781/1-3,4,0.07,1,1,0,1,1,0,0,FullRemoval
PL1850.1-10,4,0.098,1,1,0,1,1,0,0,FullRemoval
PL1982,12,0.725,1,1,0,1,1,0,0,FullRemoval
PL2025JWW1/1-3,4,0.166,1,1,0,1,1,0,0,FullRemoval
PL1370/1-5,6,0.089,1,1,0,1,1,0,0,FullRemoval
PL1372/1-3,4,0.13,1,1,0,1,1,0,0,FullRemoval
PL1373/1-3,4,0.09,1,1,0,1,1,0,0,FullRemoval
PL1374/1-3,4,0.088,1,1,0,1,1,0,0,FullRemoval
PL2018.1-9(JLP07),4,0.138,1,1,0,1,1,0,0,FullRemoval
PL2019.1-6(JLW10),4,0.12,1,1,0,1,1,0,0,FullRemoval
PL2020(JLW10),6,0.082,1,1,0,1,1,0,0,FullRemoval
PL1443.3,8.81,0.06,1,1,0,1,1,0,0,FullRemoval
PL2031JAW1,4,0.144,1,1,0,1,1,0,0,FullRemoval
PL2031JAW2,4,0.04,1,1,0,1,1,0,0,FullRemoval
PL855,3,26.75,1,1,0,1,1,0,0,FullRemoval
PL2811,3,28,1,1,0,1,1,0,0,FullRemoval
PL985.1,0.375,2,1,1,0,1,1,0,0,FullRemoval
PL985.2,0.375,2,1,1,0,1,1,0,0,FullRemoval
PL985.3,0.375,2,1,1,0,1,1,0,0,FullRemoval
PL2350JN2,3.5,9.519,1,1,0,1,1,0,0,FullRemoval
PL2351JN2,4,0.0604,1,1,0,1,1,0,0,FullRemoval
PL236,3,0.385,1,1,0,1,1,0,0,FullRemoval
PL237,4,0.3663,1,1,0,1,1,0,0,FullRemoval
PL238,8.875,0.347,1,1,0,1,1,0,0,FullRemoval
PL34,8.875,0.336,1,1,0,1,1,0,0,FullRemoval
PL647,0.5,0.19,1,1,0,1,1,0,0,FullRemoval
PL772,4.5,2.514,1,0,0,1,1,0,0,FullRemoval
PL170,4.5,2.519,1,0,0,1,1,0,0,FullRemoval
PL3017,4.5,1.628,1,0,0,1,1,0,0,FullRemoval
PL2672,6,0.85,1,1,0,1,0,1,0,FullRemoval
PL2418,1,0.02,1,1,0,1,0,1,0,FullRemoval
PL2418J1,1.5,0.02,1,1,0,1,0,1,0,FullRemoval
PL2409,7,0.275,1,1,0,1,0,1,0,FullRemoval
PL2818JP1,6,0.06,1,1,0,1,0,1,0,FullRemoval
PL2818JP2,6,0.044,1,1,0,1,0,1,0,FullRemoval
PL2818JP3,6,0.053,1,1,0,1,0,1,0,FullRemoval
PL2818JP4,6,0.042,1,1,0,1,0,1,0,FullRemoval
PL1621,6.625984252,0.037,1,1,0,1,0,1,0,FullRemoval
PL1622,2.374015748,0.037,1,1,0,1,0,1,0,FullRemoval
PL1388/1-3,6,0.116,1,1,0,1,0,1,0,FullRemoval
PL1388JCP01/1-3,6,0.035,1,1,0,1,0,1,0,FullRemoval
PL1390JCP03/1-3,6,0.035,1,1,0,1,0,1,0,FullRemoval
PL1390JCP020/1-3,6,0.024,1,1,0,1,0,1,0,FullRemoval
PL1396,8,0.749,1,1,0,1,0,1,0,FullRemoval
PL1431,8,0.721,1,1,0,1,0,1,0,FullRemoval
PL1904,10,0.728,1,1,0,1,0,1,0,FullRemoval
PL2173,6,0.034,1,1,0,1,0,1,0,FullRemoval
PL1441.2,7.75,0.035,1,1,0,1,0,1,0,FullRemoval
PL1441.3,7.75,0.035,1,1,0,1,0,1,0,FullRemoval
PL1441.4,7.75,0.035,1,1,0,1,0,1,0,FullRemoval
PL1441.5,7.75,0.142,1,1,0,1,0,1,0,FullRemoval
PL1441.6,7.75,0.035,1,1,0,1,0,1,0,FullRemoval
PL1442.2,5.27,0.14,1,1,0,1,0,1,0,FullRemoval
PL1442.4,5.27,0.06,1,1,0,1,0,1,0,FullRemoval
PL1442.5,5.27,0.035,1,1,0,1,0,1,0,FullRemoval
PL1442.6,5.27,0.027,1,1,0,1,0,1,0,FullRemoval
PL1442.7,5.27,0.11,1,1,0,1,0,1,0,FullRemoval
PL1442.8,5.27,0.035,1,1,0,1,0,1,0,FullRemoval
PL3806,7.95,0.162,1,1,0,1,0,1,0,FullRemoval
PL3809,5.83,0.162,1,1,0,1,0,1,0,FullRemoval
PL2029JAW1,8,0.143,1,1,0,1,0,1,0,FullRemoval
PL2029JAW2,8,0.04,1,1,0,1,0,1,0,FullRemoval
PL854,12,26.75,1,1,0,1,0,1,0,FullRemoval
PL2810,12,28,1,1,0,1,0,1,0,FullRemoval
PL983,6,2.056,1,1,0,1,0,1,0,FullRemoval
PL984,2,2.056,1,1,0,1,0,1,0,FullRemoval
PL2329J1,4,0.043,1,1,0,1,0,1,0,FullRemoval
PL2329J2,4,0.0455,1,1,0,1,0,1,0,FullRemoval
PL2329J3,4,0.027,1,1,0,1,0,1,0,FullRemoval
PL2329J4,4,0.06,1,1,0,1,0,1,0,FullRemoval
PL2329J5,4,0.061,1,1,0,1,0,1,0,FullRemoval
PL2330J1,2.5,0.044,1,1,0,1,0,1,0,FullRemoval
PL2330J2,4,0.045,1,1,0,1,0,1,0,FullRemoval
PL2330J3,4,0.0285,1,1,0,1,0,1,0,FullRemoval
PL2330J4,2.5,0.06,1,1,0,1,0,1,0,FullRemoval
PL2330J5,2.5,0.05,1,1,0,1,0,1,0,FullRemoval
PL231,10.75,0.3131,1,1,0,1,0,1,0,FullRemoval
PL232,6.875,0.3156,1,1,0,1,0,1,0,FullRemoval
PL233,8,0.3198,1,1,0,1,0,1,0,FullRemoval
PL234,8.875,0.313,1,1,0,1,0,1,0,FullRemoval
PL235,4.5,0.3174,1,1,0,1,0,1,0,FullRemoval
PL4540,8.39,4.2825,1,1,0,1,0,1,0,FullRemoval
PL641,4.5,0.36059,1,1,0,1,0,1,0,FullRemoval
PL642,8.874,0.36363,1,1,0,1,0,1,0,FullRemoval
PL2409,8,0.007,1,0,1,1,0,1,0,FullRemoval
PL2434,6,0.003,1,0,0,1,0,1,0,FullRemoval
PL2672,6,0.01,1,0,0,1,0,1,0,FullRemoval
PL2672,6,0.002,1,0,0,1,0,1,0,FullRemoval
PL2057,6,0.005,1,0,0,1,0,1,0,FullRemoval
PL2057,6,0.003,1,0,0,1,0,1,0,FullRemoval
PL2057J1,6,0.01,1,0,0,1,0,1,0,FullRemoval
PL2057J1,6,0.003,1,0,0,1,0,1,0,FullRemoval
PL2418,2,0.005,1,0,0,1,0,1,0,FullRemoval
PL2418J1,2,0.004,1,0,0,1,0,1,0,FullRemoval
PL2409,8,0.047,1,0,0,1,0,1,0,FullRemoval
PL2409,8,0.03,1,0,0,1,0,1,0,FullRemoval
PL2409,8,0.007,1,0,0,1,0,1,0,FullRemoval
PL2806JP1,6.62,0.0635,1,0,0,1,0,1,0,FullRemoval
PL2806JP2,6.62,0.0635,1,0,0,1,0,1,0,FullRemoval
PL2806JP3,6.62,0.0635,1,0,0,1,0,1,0,FullRemoval
PL2806JP4,6.62,0.0635,1,0,0,1,0,1,0,FullRemoval
PL2807JP1,2.37,0.0641,1,0,0,1,0,1,0,FullRemoval
PL2807JP2,2.37,0.0657,1,0,0,1,0,1,0,FullRemoval
PL2807JP3,2.37,0.0668,1,0,0,1,0,1,0,FullRemoval
PL2807JP4,2.37,0.0673,1,0,0,1,0,1,0,FullRemoval
PL947,12,53,1,0,0,1,0,1,0,FullRemoval
PL1497,6,0.017,1,1,0,1,0,1,0,FullRemoval
PL1498,6,0.021,1,1,0,1,0,1,0,FullRemoval
PL1500,6,0.03,1,1,0,1,0,1,0,FullRemoval
PL1502,6,0.027,1,1,0,1,0,1,0,FullRemoval
PL2782,7.5,0.047,1,1,0,1,0,1,0,FullRemoval
PL2783,11.63,0.485,1,1,0,1,0,1,0,FullRemoval
PL126,12.75,1.697,1,1,0,1,0,1,0,FullRemoval
PL126A,12.75,0.08,1,1,0,1,0,1,0,FullRemoval
PL3022,4.5,0.012,1,1,0,1,0,1,0,FullRemoval
PL3023,4.5,0.016,1,1,0,1,0,1,0,FullRemoval
PL3024,4.5,0.2283,1,1,0,1,0,1,0,FullRemoval
PL3025,4.5,0.016,1,1,0,1,0,1,0,FullRemoval
PL1546,10,0.236,1,1,0,1,0,1,0,FullRemoval
PL1547,10,0.236,1,1,0,1,0,1,0,FullRemoval
